subject	hemi	CA1	CA2	CA4_DG	CA3	Tail	Sub	SRLM	Cyst
sub-7027863	L	254.7215420398861	132.78479157574475	243.7447549458593	141.33447848260403	119.88158311508596	349.5215004310012	349.6836250014603	16.636841950938106
sub-7027863	R	402.5362349711359	165.4624292626977	256.819624716416	207.3287153989077	63.01877421140671	292.0578769426793	338.5065663792193	8.468624621629715
sub-6451366	L	524.2391817332245	71.50645136274397	356.0492942654528	143.68524265894666	293.21650488115847	757.7127999030054	541.433917903807	1.5401829681359231
sub-6451366	R	519.2753103096038	65.72242058767006	315.8948646225035	199.5943612391129	268.42098960466683	688.7192786461674	517.048482303042	6.642337073106319
sub-8244977	L	622.3388232300058	62.98060880228877	294.72807763936	135.84127676859498	369.767889929004	600.2946564755403	514.8836430846713	31.228044143412266
sub-8244977	R	634.5553828720003	59.647519344929606	292.6156904725358	152.96448741434142	276.4747637012042	725.1400758926757	570.4112921990454	21.882042231503878
sub-9578406	L	671.7447402188554	55.35128975659609	339.298447098583	152.4020134313032	438.1754581592977	786.3764602178708	640.4212889429182	29.41610152553767
sub-9578406	R	669.6323503702879	64.5828625485301	356.1737240152433	203.0040023094043	325.246047812514	775.819279349409	663.7624815134332	34.80436457041651
sub-9686611	L	525.368002384901	49.11407381296158	242.79041711986065	102.28601916134356	370.7206585109234	591.1760929375887	546.2772464305162	11.157954633235931
sub-9686611	R	581.4343402385712	48.36067345738411	297.74572786688805	114.2879729270935	306.13803562521935	632.961202532053	582.7837851792574	11.415445894002914
sub-7840988	L	601.0388741050847	49.96776092844084	221.5814374065958	128.39316067937762	318.7036203048192	572.957936600782	453.1669174153358	11.5728366994299
sub-7840988	R	739.2215006863698	63.57669209456071	227.82800356904045	165.07147130649537	239.4103770107031	497.6081362199038	528.8123568054289	7.867812342010438
sub-7982706	L	462.4992520124652	53.54888084810227	253.944719363004	77.62441953038797	230.0122320097871	448.2418028819375	364.7856575031765	14.45772099122405
sub-7982706	R	386.1622944436968	65.46028818190098	127.53025986487046	74.36284922761843	176.54441358149052	391.18816447164863	318.7612765640952	0.7247934006154537
sub-8749907	L	669.2316762134433	67.68229267373681	324.16833188943565	145.64519849419594	406.7804018184543	680.1464830283076	634.1412160340697	46.262759160250425
sub-8749907	R	628.3714841660112	66.06104570254683	334.7636576835066	162.6873651854694	392.136726969853	777.9839693661779	617.2421005461365	37.73690744116902
sub-9938814	L	545.049192730803	59.00865019066259	393.1573508582078	117.49754742207006	360.2412528973073	498.1474486277439	560.613171253819	10.37598568201065
sub-9938814	R	628.8486285652034	74.52494495594874	353.9803755073808	195.54155369848013	320.30133742280304	491.5957003156655	573.2445986764506	10.118493390269578
sub-7130957	L	590.1336669921875	47.779083251953125	320.8446502685547	105.6051254272461	430.3264617919922	659.027099609375	570.6882476806641	11.987686157226562
sub-7130957	R	615.6778335571289	50.7354736328125	280.5137634277344	125.1077651977539	325.0741958618164	674.6816635131836	597.1384048461914	9.641647338867188
sub-7447784	L	519.6188865490258	56.68162192497402	304.25065773911774	113.15820391196758	257.14392408076674	558.8291984098032	532.0261869821697	7.843969720415771
sub-7447784	R	658.6407328704372	71.7305996986106	341.85879706125706	128.6792503800243	286.1451543783769	477.4092695489526	574.9081442439929	11.692044835537672
sub-9745500	L	715.2742519825697	62.08414949476719	356.640537109226	142.1498141773045	420.66064395383	680.3745676390827	605.8974300846457	15.78806597366929
sub-9745500	R	683.5741424709558	63.93427622318268	343.8327010460198	135.97477780282497	352.4634468667209	771.2405855171382	619.8592111691833	5.745883267372847
sub-7698204	L	443.9207857106812	54.531060134992	249.30460100015625	84.94371329527348	253.09545381646603	578.7702418682165	462.4220548016019	3.91959876101464
sub-7698204	R	523.6240622196347	72.93696185946465	265.8413023422472	103.1064282353036	307.84585889428854	518.9510612636805	455.26950231799856	14.080991656053811
sub-6363167	L	487.947749895975	58.660541573539376	380.916818652302	160.45102937798947	308.9858911903575	605.7218286087736	551.2240778654814	5.102160582318902
sub-6363167	R	803.785795064643	69.03652421571314	362.9591207522899	180.95027082040903	285.05818857159466	603.6523541295901	604.12919156719	16.274461745284498
sub-7625176	L	535.1838936321437	44.36977556440979	252.0136494738981	116.93021347559988	255.003423711285	517.7793067637831	476.6186509151012	9.89915680512786
sub-7625176	R	728.2269880920649	59.47600329015404	290.15592080540955	137.50100464001298	281.5013111708686	508.2282416960225	548.4638318317011	43.14907029364258
sub-9572797	L	244.52230963855985	200.2050252044573	87.52353731309995	118.064984139055	261.06857357081026	329.4280086522922	312.3906020154245	2.698900687508285
sub-9572797	R	284.9772096965462	113.83066645264626	246.92080265237016	147.86256434442475	265.98953736852854	482.4165769526735	463.12372857518494	1.88350843032822
sub-8699817	L	547.8378365607932	46.14826862420887	320.68707478651777	142.64573836466298	369.1718438887037	599.3648246526718	565.3902003555559	30.75120731117204
sub-8699817	R	589.7327206414193	64.42542440397665	337.5623302794993	150.7615012493916	304.7941031679511	741.6481670248322	615.2959432178177	39.477321341168135
sub-8858912	L	574.5078255264089	65.61757415626198	284.1997701684013	113.9021142264828	458.66498368699104	623.808028941974	535.764798855409	2.3031239239498973
sub-8858912	R	539.5461182584986	62.26540827937424	296.35912007745355	128.7412894880399	381.6939145764336	840.983555062674	607.7195400819182	8.82625752221793
sub-7777200	L	473.44758576899767	56.48144964128733	254.6219035834074	105.5766801610589	361.7435385510325	680.3618571311235	539.2750583142042	7.314693436026573
sub-7777200	R	488.3630753830075	55.23690271377564	280.23763574659824	133.64812752604485	320.9166772738099	669.0655672028661	516.8922871351242	7.59125941991806
sub-8001042	L	348.5487530082464	63.0569211691618	284.9148591030389	133.9292003083974	310.5019310172647	571.6321619600058	464.4201371893287	9.779926294460893
sub-8001042	R	326.85743915475905	98.80062058568	267.6247505005449	197.76813411153853	265.57911989092827	539.3836775477976	419.82157520391047	20.66134599409997
sub-9198294	L	326.4281264911406	48.775630043353885	269.5128933112137	85.40145997423679	162.39628823800012	537.2853325246833	401.1722853463143	7.972710277885199
sub-9198294	R	440.2633612183854	90.41301410226151	296.5733782555908	117.99325109226628	173.41121691139415	481.32854119036347	404.5101425200701	21.0332685620524
sub-7307768	L	567.4120993469842	41.80429324740544	305.2996098389849	133.0756491329521	329.94731051148847	634.1215852065943	529.9327170127071	7.543560159392655
sub-7307768	R	569.9774820054881	47.62170373694971	338.6257425532676	151.49585956009105	274.39104033634067	638.1890041800216	525.2358732977882	24.39020873280242
sub-8517582	L	493.2848614719696	60.56805102434009	337.3824501791969	142.66536912275478	320.1733416807838	622.4652323033661	519.4108535647392	5.335824995767325
sub-8517582	R	636.0169880120084	56.17636664444581	390.8074575541541	186.0863006790169	276.86208302434534	570.3562997262925	581.9911638814956	48.76629332592711
sub-6686191	L	564.8895216817036	59.57122545177117	301.4037932907231	119.75757041713224	330.27149511454627	544.0469837444834	486.368800516706	19.96515816589817
sub-6686191	R	705.1272340435535	66.60456872731447	290.58436556719244	152.0728025380522	262.29363631037995	564.9229002599604	536.7227700012736	23.68448545737192
sub-6653277	L	471.224876887165	68.16865345090628	266.7379900244996	99.08201245497912	341.6252803467214	471.4013066701591	436.8067640857771	11.401178679428996
sub-6653277	R	531.33021241799	61.421406344510615	215.2681771153584	128.70314250793308	256.3381695728749	502.76766106300056	451.48858305439353	16.436580053530633
sub-6405157	L	506.4720435230993	80.65215030033141	252.64712850376964	100.40749254310504	245.04635236691684	459.9995440063067	419.82128821639344	5.817407080903649
sub-6405157	R	459.16984824230894	107.82230238802732	173.74973706062883	127.44413036992772	98.49537759274244	432.56713176332414	370.9646054697223	0.0
sub-6570677	L	680.7276262925006	59.213609392754734	351.2047006445937	168.87179712066427	262.7323775109835	534.9013577750884	621.4043444069102	23.145664357580245
sub-6570677	R	627.2885120660067	64.52557274140418	361.90492124995217	174.05501449946314	197.48201264301315	590.2001360105351	604.4194131251425	27.65654167160392
sub-6086470	L	584.4394893581048	71.04864637367427	323.0138492616825	130.30035643000156	465.9646794386208	617.8705000779592	567.0635653724894	21.74374680966139
sub-6086470	R	560.0349945835769	72.80340488813818	394.43442814657465	157.99502341914922	355.7009949591011	678.6814656620845	570.6112293256447	29.926262056455016
sub-7495593	L	423.9984600474127	55.83758214954287	333.37563777994365	156.45013410132378	352.81627163337544	682.0243563135155	541.4719590940513	7.066720473580062
sub-7495593	R	527.9393324381672	65.00238427519798	351.8864399921149	163.81249335315078	281.2478454606608	701.7701656799763	564.2123031821102	15.568719531875104
sub-9481794	L	376.0431728102267	60.23881466500461	233.36401406675577	82.83611876517534	207.84369932860136	361.9049565922469	355.87773726694286	9.07420757599175
sub-9481794	R	406.3556991163641	114.00695162080228	101.18003707565369	101.66641078703104	48.04609329253435	230.15013287588957	245.5138201117516	14.400476552546024
sub-8253978	L	575.7767748963088	132.54181181639433	275.4357704687864	104.16043090075254	185.3754308596253	303.57396414875984	388.9994411487132	0.0
sub-8253978	R	354.1855194307864	122.33271629549564	210.5429255627096	180.07299544662237	194.69760822691023	412.0450080111623	356.5744763929397	1.7595311757177114
sub-9882308	L	475.0491116428748	82.69788449909538	329.4516253201291	141.42039200104773	155.58722673822194	483.7990752048791	469.2460022941232	23.35072019789368
sub-9882308	R	571.7087908610702	78.08686827868223	392.2892383011058	170.1927517466247	232.07669022493064	509.1954272110015	524.5257448414341	52.08493296336383
sub-6954998	L	376.22470152564347	102.0050546899438	388.2123935362324	116.96821202058344	300.49815545557067	429.8164559039287	446.0432323208079	0.5054476344957948
sub-6954998	R	565.3336424357258	67.10532604018226	292.28224720805883	152.3018626961857	286.03567738551646	518.145814219024	520.5633797915652	9.016995064448563
sub-8796916	L	343.23222188372165	66.80489891208708	135.4742314768955	81.57731695845723	123.6915829963982	360.0311982482672	319.5191053748131	0.1287460578605532
sub-8796916	R	359.5209823893383	79.07392138894647	286.86052203085274	112.9007559986785	212.04952566884455	435.6432811925188	404.97310918662697	8.983613815158606
sub-9369902	L	518.6322390055284	58.851276548579335	253.11008025240156	127.2726804697886	333.5907029705122	584.2784490399063	496.7215587478131	1.969338617287576
sub-9369902	R	503.6213964698836	71.90231721568853	277.3429588312283	144.85844516847283	214.14292485173792	615.0773791344836	471.7829607613385	5.683902256190777
sub-8502872	L	416.2982784844935	65.0358771677129	292.15361523488536	134.70184721099213	330.90620514191687	529.9525150335394	449.9344011871144	50.23960714414716
sub-8502872	R	448.2845431696624	54.73141712229699	285.34914300683886	159.31143457535654	224.29485960956663	560.1315653007478	438.42354207113385	45.78594417218119
sub-9589815	L	424.4241296201944	61.53596747200936	275.1928519755602	119.79128824733198	319.34329930786043	494.25708147045225	430.7422355404124	7.801072668284178
sub-9589815	R	435.7681099856272	70.27164297830313	287.55249767005444	131.94112514145672	238.11391489207745	513.2304727584124	417.4527553897351	5.369197936728597
sub-6937998	L	717.7599735092372	58.71302809379995	424.7098177745938	161.38572531752288	440.9032266438008	710.4023675359786	668.2975971251726	54.28320570290089
sub-6937998	R	682.7839269675314	59.93373264931142	458.6511264704168	175.17587209306657	373.5546674951911	810.3380162641406	673.6286428011954	91.21905526146293
sub-8065270	L	522.6756163062528	53.977976851165295	292.5158118316904	105.93416375666855	313.0436555016786	547.8001710791141	478.7064533606172	43.52570430189371
sub-8065270	R	607.0758097926155	70.59575506020337	255.76596487127244	162.48706176504493	265.5268234061077	550.2844931585714	457.84959198720753	73.1849813349545
sub-9157179	L	594.9694930054247	58.64150243625045	273.9814154319465	111.7707608640194	367.4416079632938	489.62650456652045	513.5875998456031	12.121214766055346
